OpenTime;Type;Size;OpenPrice;CloseTime;ClosePrice;Profit;Komment;Profit%;Update
2018.02.27 17:21;buy;0.10;2787.80;2018.02.27 17:53;2770.27;-1.75;_2[sl];-0.40%;
2018.02.27 13:00;buy;0.10;2779.93;2018.03.01 21:02;2663.83;-11.65;_1[sl];-2.66%;
